,date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,surface_pressure_mean,surface_pressure_max,surface_pressure_min
78,2020-03-19 05:00:00+00:00,61.0,36.92705,39.2783,32.7083,0.53149605,0.53149605,0.0,14.171001,26.1729,19.687204,35.9258,38.7383,29.0183,96.159355,100.0,86.118835,982.7205,986.2986,979.12775
79,2020-03-20 05:00:00+00:00,3.0,27.349554,33.4283,20.4683,0.0,0.0,0.0,15.997286,30.1995,346.84808,12.814551,26.678299,8.3183,54.98988,80.52753,37.79258,997.47577,1003.59576,985.11444
80,2020-03-21 05:00:00+00:00,73.0,27.600798,37.8383,18.3983,0.035433073,0.0,0.24803151,9.812248,21.2515,135.17816,11.8733,24.6983,4.178299,53.04739,81.25541,29.212263,1001.41473,1004.3289,997.2846
81,2020-03-22 05:00:00+00:00,71.0,35.753304,45.2183,28.6583,0.027559055,0.015748031,0.08267716,14.609169,29.528399,158.82672,25.182047,29.2883,21.0083,66.033424,81.866875,48.7183,991.706,997.0651,987.2004
82,2020-03-23 05:00:00+00:00,73.0,37.30205,47.6483,29.3783,0.05905512,0.011811024,0.33070868,7.1618943,14.093101,177.56737,30.623299,33.1583,26.3183,79.00579,97.50733,47.315823,987.9251,989.6944,986.67706
83,2020-03-24 05:00:00+00:00,71.0,39.8333,51.1583,27.7583,0.015748031,0.0118110245,0.027559055,11.602247,23.0411,153.49548,34.392048,37.4783,25.5983,82.28201,97.86349,58.115574,983.58734,987.1951,979.5433
84,2020-03-25 05:00:00+00:00,53.0,39.63455,43.4183,34.7783,0.2007874,0.2007874,0.0,8.57387,17.4486,319.1705,38.2133,41.4383,33.4283,94.67628,98.59523,86.0937,978.5052,980.84094,976.9887
85,2020-03-26 05:00:00+00:00,3.0,38.907047,49.1783,28.8383,0.0,0.0,0.0,7.0064893,12.079801,347.7604,32.28455,37.8383,27.6683,78.93173,95.71957,53.538895,980.7625,982.2304,979.702
86,2020-03-27 05:00:00+00:00,53.0,44.048306,56.3783,32.2583,0.03543307,0.03543307,0.0,5.1645155,12.079801,67.9379,34.96955,40.2683,30.0083,72.37811,91.971245,49.22345,979.8835,982.1541,977.5919
87,2020-03-28 05:00:00+00:00,63.0,44.007053,51.5183,38.4683,0.5629921,0.5629921,0.0,15.344255,30.1995,50.6199,40.654552,43.5983,37.9283,88.810585,97.93446,63.29727,973.6092,978.8161,965.0004
88,2020-03-29 05:00:00+00:00,71.0,39.439552,47.3783,34.0583,0.3188976,0.3110236,0.05511811,18.963112,36.0157,344.96274,34.33205,37.1183,24.608301,83.456825,99.64254,51.84353,973.67523,985.9518,963.9888
89,2020-03-30 05:00:00+00:00,3.0,42.375805,57.3683,27.1283,0.0,0.0,0.0,6.3153167,11.184999,10.784245,26.824547,32.9783,21.3683,56.38043,80.437065,35.096428,990.73956,993.5735,986.4807
90,2020-03-31 05:00:00+00:00,3.0,40.36955,53.138298,28.5683,0.0,0.0,0.0,7.147907,17.4486,81.95296,27.55955,33.7883,22.358301,62.38666,82.10686,40.629887,988.6948,992.1367,985.08514
91,2020-04-01 05:00:00+00:00,51.0,42.34955,55.1183,30.4583,0.0118110245,0.0118110245,0.0,11.574179,24.607,128.20888,32.47955,38.3783,27.2183,69.30407,87.59525,51.4282,984.7879,986.33203,982.69086
